"#"	"latitude"	"longitude"	"hdop"	"plan#"
145	52.139786	11.644822	1.600000	72
146	52.139790	11.644837	1.600000	72
147	52.139790	11.644837	1.600000	72
148	52.139788	11.644847	1.600000	72
149	52.139788	11.644847	1.600000	72
150	52.139784	11.644850	1.600000	72
151	52.139784	11.644850	1.600000	72
152	52.139776	11.644861	1.600000	72
153	52.139776	11.644861	1.600000	72
154	52.139795	11.644908	1.600000	72
155	52.139795	11.644908	1.600000	72
156	52.139795	11.644938	1.600000	73
157	52.139795	11.644938	1.600000	73
158	52.139782	11.644933	1.600000	73
159	52.139782	11.644933	1.600000	73
160	52.139772	11.644939	1.600000	73
161	52.139772	11.644939	1.600000	73
162	52.139779	11.644962	1.600000	73
163	52.139779	11.644962	1.600000	73
164	52.139798	11.645012	1.600000	73
165	52.139798	11.645012	1.600000	73
166	52.139802	11.645042	1.600000	73
167	52.139802	11.645042	1.600000	73
168	52.139775	11.645015	1.600000	73
169	52.139775	11.645015	1.600000	73
170	52.139781	11.645065	1.600000	73
171	52.139781	11.645065	1.600000	73
172	52.139760	11.645092	1.600000	74
173	52.139760	11.645092	1.600000	74
174	52.139788	11.645140	1.600000	74
175	52.139788	11.645140	1.600000	74
176	52.139791	11.645147	1.600000	74
177	52.139791	11.645147	1.600000	74
---
"#"	"plan latitude"	"plan longitude"	"plan hdop"	"x"	"y"	"num corresponding"	"geodetic diff"	"mean latitude"	"mean longitude"	"mean hdop"	"plan hdop-mean hdop"
0	52.140967	11.640760	1.180850	10	23	0	
1	52.140877	11.640760	1.508980	11	23	0	
2	52.140787	11.640760	1.307900	12	23	0	
3	52.140787	11.640614	1.598482	12	22	0	
4	52.140697	11.640614	1.194355	13	22	0	
5	52.140607	11.640614	0.891353	14	22	0	
6	52.140607	11.640760	0.767346	14	23	0	
7	52.140607	11.640906	0.621255	14	24	0	
8	52.140517	11.640906	1.173477	15	24	0	
9	52.140517	11.641052	3.326019	15	25	0	
10	52.140428	11.641052	3.326019	16	25	0	
11	52.140428	11.640906	0.772856	16	24	0	
12	52.140338	11.640906	0.902516	17	24	0	
13	52.140248	11.640906	0.760170	18	24	0	
14	52.140158	11.640906	0.701938	19	24	0	
15	52.140068	11.640906	1.520070	20	24	0	
16	52.140068	11.641052	1.547861	20	25	0	
17	52.140068	11.641198	0.641932	20	26	0	
18	52.139978	11.641198	1.476297	21	26	0	
19	52.139888	11.641198	1.165607	22	26	0	
20	52.139888	11.641344	1.028012	22	27	0	
21	52.139798	11.641344	1.046781	23	27	0	
22	52.139798	11.641198	1.028012	23	26	0	
23	52.139709	11.641198	1.028012	24	26	0	
24	52.139619	11.641198	1.028012	25	26	0	
25	52.139529	11.641198	1.046781	26	26	0	
26	52.139529	11.641052	2.143339	26	25	0	
27	52.139529	11.640906	1.028061	26	24	0	
28	52.139439	11.640906	0.989524	27	24	0	
29	52.139349	11.640906	3.034336	28	24	0	
30	52.139349	11.641052	1.451564	28	25	0	
31	52.139259	11.641052	2.235836	29	25	0	
32	52.139259	11.641198	1.719821	29	26	0	
33	52.139259	11.641344	2.287751	29	27	0	
34	52.139349	11.641344	0.763342	28	27	0	
35	52.139349	11.641490	0.755350	28	28	0	
36	52.139349	11.641636	0.755350	28	29	0	
37	52.139349	11.641782	1.098070	28	30	0	
38	52.139349	11.641928	1.218975	28	31	10	0.000183	52.139521	11.641945	1.100000	-0.118975	
39	52.139349	11.642074	2.000522	28	32	10	0.000055	52.139391	11.642071	1.400000	-0.600522	
40	52.139349	11.642220	2.801415	28	33	14	0.000040	52.139356	11.642206	1.600000	-1.201415	
41	52.139349	11.642366	0.924980	28	34	8	0.000043	52.139323	11.642341	1.600000	0.675020	
42	52.139439	11.642366	1.354323	27	34	0	
43	52.139529	11.642366	1.325164	26	34	0	
44	52.139529	11.642513	1.325164	26	35	0	
