"#"	"latitude"	"longitude"	"hdop"	"plan#"
0	52.140907	11.640543	2.400000	0
1	52.140907	11.640543	2.400000	0
2	52.140922	11.640547	2.500000	0
3	52.140922	11.640547	2.500000	0
4	52.140941	11.640548	2.500000	0
5	52.140941	11.640548	2.500000	0
6	52.140953	11.640549	2.500000	0
7	52.140953	11.640549	2.500000	0
8	52.140740	11.642019	1.200000	12
9	52.140740	11.642019	1.200000	12
10	52.140820	11.642022	1.200000	10
11	52.140820	11.642022	1.200000	10
12	52.140859	11.642104	1.200000	12
13	52.140859	11.642104	1.200000	12
14	52.140794	11.642163	1.200000	13
15	52.140794	11.642163	1.200000	13
16	52.140813	11.642148	1.200000	13
17	52.140813	11.642148	1.200000	13
18	52.140739	11.642852	1.200000	18
19	52.140739	11.642852	1.200000	18
20	52.140772	11.642887	1.200000	19
21	52.140772	11.642887	1.200000	19
22	52.140761	11.642930	1.200000	19
23	52.140761	11.642930	1.200000	19
24	52.140743	11.642948	1.200000	19
25	52.140743	11.642948	1.200000	19
26	52.140719	11.642971	1.200000	19
27	52.140719	11.642971	1.200000	19
28	52.140743	11.643019	1.200000	19
29	52.140743	11.643019	1.200000	19
30	52.140734	11.643047	1.100000	20
31	52.140734	11.643047	1.100000	20
32	52.140748	11.643080	1.100000	20
33	52.140748	11.643080	1.100000	20
34	52.140755	11.643108	1.100000	20
35	52.140755	11.643108	1.100000	20
36	52.140682	11.643105	1.100000	20
37	52.140682	11.643105	1.100000	20
38	52.140688	11.643121	1.100000	20
39	52.140688	11.643121	1.100000	20
40	52.140679	11.643131	1.100000	20
41	52.140679	11.643131	1.100000	20
42	52.140665	11.643140	1.100000	20
43	52.140665	11.643140	1.100000	20
44	52.140664	11.643135	1.100000	20
45	52.140664	11.643135	1.100000	20
46	52.140663	11.643135	1.100000	20
47	52.140663	11.643135	1.100000	20
48	52.140661	11.643137	1.100000	20
49	52.140661	11.643137	1.100000	20
50	52.140659	11.643141	1.100000	20
51	52.140659	11.643141	1.100000	20
52	52.140653	11.643142	1.100000	20
53	52.140653	11.643142	1.100000	20
54	52.140641	11.643133	1.100000	20
55	52.140641	11.643133	1.100000	20
56	52.140627	11.643127	1.100000	20
57	52.140627	11.643127	1.100000	20
58	52.140609	11.643130	1.100000	20
59	52.140609	11.643130	1.100000	20
60	52.140586	11.643121	1.100000	20
61	52.140586	11.643121	1.100000	20
62	52.140560	11.643120	1.100000	21
63	52.140560	11.643120	1.100000	21
64	52.140347	11.643131	1.100000	23
65	52.140347	11.643131	1.100000	23
66	52.140332	11.643153	1.100000	23
67	52.140332	11.643153	1.100000	23
68	52.140327	11.643192	1.100000	23
69	52.140327	11.643192	1.100000	23
70	52.140291	11.643188	1.100000	24
71	52.140291	11.643188	1.100000	24
72	52.140288	11.643198	1.100000	24
73	52.140288	11.643198	1.100000	24
74	52.140263	11.643184	1.100000	24
75	52.140263	11.643184	1.100000	24
76	52.140250	11.643185	1.100000	24
77	52.140250	11.643185	1.100000	24
78	52.140237	11.643183	1.100000	24
79	52.140237	11.643183	1.100000	24
80	52.140216	11.643164	1.100000	24
81	52.140216	11.643164	1.100000	24
82	52.140201	11.643174	1.100000	25
83	52.140201	11.643174	1.100000	25
84	52.140185	11.643159	1.100000	25
85	52.140185	11.643159	1.100000	25
86	52.140177	11.643159	1.100000	25
87	52.140177	11.643159	1.100000	25
88	52.140148	11.643166	1.100000	25
89	52.140148	11.643166	1.100000	25
90	52.140142	11.643184	1.100000	25
91	52.140142	11.643184	1.100000	25
92	52.140129	11.643187	1.100000	25
93	52.140129	11.643187	1.100000	25
94	52.140115	11.643207	1.100000	25
95	52.140115	11.643207	1.100000	25
96	52.140021	11.643741	1.300000	32
97	52.140021	11.643741	1.300000	32
98	52.140060	11.643709	1.300000	32
99	52.140060	11.643709	1.300000	32
100	52.140067	11.643736	1.100000	32
101	52.140067	11.643736	1.100000	32
102	52.140043	11.643750	1.100000	32
103	52.140043	11.643750	1.100000	32
104	52.140048	11.643796	1.100000	33
105	52.140048	11.643796	1.100000	33
106	52.140035	11.643825	1.100000	33
107	52.140035	11.643825	1.100000	33
108	52.140008	11.643830	1.100000	33
109	52.140008	11.643830	1.100000	33
